Date,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,BB_Upper,BB_Mid,BB_Lower,ATR,ADX,SMA_20,SMA_50,SMA_200,kairi_20,kairi_200,vol_ratio,return_lag_1,rsi_lag_1,return_lag_2,rsi_lag_2,return_lag_3,rsi_lag_3,target_return,ticker
2025-10-30,28449.26953125,28449.26953125,27244.593551099082,27951.4695394521,4130300,82.05420948339554,1482.5820385916413,1029.1389560550028,25154.606962190705,21329.73388671875,17504.860811246795,1318.458895720805,36.967982706514455,21329.73388671875,18794.0404296875,15793.961215820313,33.37845508220019,80.12751293040574,0.5957295209413285,0.21208908164819196,71.49786764644702,0.305390592135085,61.01448912748586,0.2808157601785366,55.724677063303176,0.01820594591782227,6920.T
2025-10-31,28284.99609375,30345.88810058078,26940.93608929514,30325.976100514785,20729700,80.96858948457393,1827.2915843709452,1188.7694817181914,26619.39130688165,21730.462890625,16841.53447436835,1517.578897040122,39.25116894167074,21730.462890625,19032.58619140625,15854.853833007812,30.162878886269695,78.39960173498537,2.0811489152368807,-0.00577425853832747,82.05420948339554,0.2050901659192712,71.49786764644702,0.29785292936259666,61.01448912748586,0.014848693053457686,6920.T
2025-11-04,30634.611328125,32655.679283799156,30415.579332928788,30485.27133140031,15727300,86.20461754739806,2263.9730240128956,1403.8101901771324,28486.737212169326,22266.095703125,16045.454194080672,1723.4547022281797,41.724659593823354,22266.095703125,19323.69962890625,15931.70328125,37.58411773926533,92.28710695471483,1.3234813957089289,0.08306931443749366,80.96858948457393,0.07681539220100242,82.05420948339554,0.30519617983755065,71.49786764644702,-0.064950275168026,6920.T
2025-11-05,28513.984375,29658.92439005761,27941.514367471194,29086.454382528806,12632100,73.5257225208788,2411.135272212283,1605.2752065841626,29421.16911510251,22624.26279296875,15827.356470834991,1792.7910543685753,42.09403247127925,22624.26279296875,19582.256953125,15997.211215820313,26.032766839420198,78.24347000433005,0.9563628820273037,-0.06922323676351316,86.20461754739806,0.00809575085289116,80.96858948457393,0.00227474535607719,82.05420948339554,0.02227110091099426,6920.T
2025-11-06,29564.341796875,29743.549795643732,29051.607800397796,29634.033796396176,5537400,75.95125092322772,2582.745200925907,1800.7692054525116,30455.549684682774,23088.461328125,15721.372971567225,1822.6590132463039,42.458582034750435,23088.461328125,19854.05576171875,16071.564370117187,28.0481248911181,83.954350155519,0.47121354464504533,0.03683657141917762,73.5257225208788,-0.03493661204924148,86.20461754739806,0.045230541976553074,80.96858948457393,-0.015783139501171658,6920.T
2025-11-07,28971.958984375,29410.02296901847,28275.03900880584,29066.540981059385,6306000,75.27990873026471,2640.5088215599317,1968.7171286739958,31196.250830524645,23539.96591796875,15883.681005412858,1860.3496437948686,42.23790147449315,23539.96591796875,20114.90294921875,16144.506206054688,23.075619927978952,79.45398028655481,0.5174578426947852,-0.020037070893376585,75.95125092322772,0.01606140353280594,73.5257225208788,-0.05427365557021291,86.20461754739806,-0.03514655533612427,6920.T
2025-11-10,28708.125,29798.306962025315,28698.1690003468,29519.538971735736,4925900,72.15980261926188,2634.627365222659,2101.8991759837286,31778.260153799398,23970.81181640625,16163.363479013104,1848.9713342637822,42.15355541188829,23970.81181640625,20377.54220703125,16216.498061523438,19.76283999005577,77.03036063078991,0.5457613447761624,-0.009106528989540896,75.27990873026471,-0.028961131715961375,75.95125092322772,0.006808610906380963,73.5257225208788,-0.005389924110099302,6920.T
2025-11-11,28708.125,30266.23894572568,28474.159008149818,29205.924982659963,7327900,73.984001353891,2599.995143132517,2201.518369413486,32261.445664824605,24399.417578125,16537.389491425398,1923.9969024413438,42.05420250825116,24399.417578125,20636.1990625,16288.096118164063,17.659058492190894,76.25218313873678,0.9975550854494912,0.0,72.15980261926188,-0.009106528989540896,75.27990873026471,-0.028961131715961375,75.95125092322772,-0.0687204329306192,6920.T
2025-11-12,29156.146484375,29350.288487600308,27707.54846030925,28374.600471391073,6023600,74.6016916826253,2578.971667107391,2277.0090289522673,32682.620604906486,24871.58095703125,17060.54130915601,1975.1991934500777,41.38821302984985,24871.58095703125,20901.526484375,16359.81759765625,17.226751828707123,78.21804130965361,0.9999070409816473,0.015606086582631296,73.984001353891,0.015606086582631296,72.15980261926188,0.006357440313212281,75.27990873026471,-0.10636646595720198,6920.T
2025-11-13,29101.38671875,29295.52871020249,28538.872743515865,28872.398728831682,3984700,76.68592934267933,2528.741991857136,2327.355621533241,33085.61088714295,25274.30107421875,17462.991261294545,1954.22049623953,40.76979422847423,25274.30107421875,21171.83185546875,16429.14859375,15.142201690534973,77.1326526915752,0.697403747536588,-0.0018781551140287789,74.6016916826253,0.013698620817277352,73.984001353891,0.013698620817277352,72.15980261926188,-0.04459945893322277,6920.T
